method,method_label,category,comparison_role,seed,run_id,source_artifact,wikitext2_ppl,best_search_fitness,train_ppl,final_calibration_kl,stage1_runtime_minutes,stage2_runtime_minutes,total_pipeline_runtime_minutes,estimated_compression_ratio,estimated_weight_memory_mb,average_bitwidth_active,average_bitwidth_total,active_parameter_ratio,generations,offspring,initial_candidates_evaluated,active_budget_valid,depth_counts_valid,frozen_depth_unchanged,frozen_quant_unchanged,stage1_candidate_hash,fixed_quant_legal_swaps_initial,fixed_quant_legal_swaps_final,accepted_parent_replacements,selected_parent_depth,selected_parent_quantization,selected_parent_sequential_quantization,selected_parent_fixed_quant_depth,selected_parent_interaction_aware,selected_parent_parent,offspring_attempts,offspring_no_ops,offspring_duplicates,offspring_infeasible,generated_depth,generated_quantization,generated_sequential_quantization,generated_fixed_quant_depth,generated_interaction_aware
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",sequential,new sequential variant,1,thesis_sequential_depth_to_quant_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,results/runs/thesis_sequential_depth_to_quant_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1/run_summary.json,12.5234375,0.703125,11.7578125,0.703125,9.583333333333334,9.233333333333333,18.816666666666666,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,1,True,True,True,False,6314b9647d6ba62e35046b6b9555495ae4a8b41829eb9b8bd11da3c487396508,,,9,0,0,9,0,0,11,328,0,8,0,0,0,320,0,0
seq_depth_to_quant_frozen,"Depth → Quantization, frozen",sequential,new sequential variant,2,thesis_sequential_depth_to_quant_frozen_mistral_s0.25_qproj3.0_g20_o16_seed2,results/runs/thesis_sequential_depth_to_quant_frozen_mistral_s0.25_qproj3.0_g20_o16_seed2/run_summary.json,11.3515625,0.61669921875,10.1171875,0.61669921875,9.616666666666667,9.4,19.016666666666666,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,1,True,True,True,False,d44e607d9348c77c8013375be1fd7e8e43861bac15c7393a9e295affacefc367,,,15,0,0,15,0,0,5,320,0,0,0,0,0,320,0,0
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),sequential,depth warm start with standard mutation,0,thesis_sequential_depth_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed0,results/runs/thesis_sequential_depth_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed0/run_summary.json,11.5078125,0.671875,11.8515625,0.671875,9.533333333333333,9.1,18.633333333333333,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,1,True,True,,,454b86987800d97eba43ad3d810527ff7143b7cabdea85e154ab2d26a1831402,,,8,1,7,0,0,0,12,320,0,0,0,163,157,0,0,0
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),sequential,depth warm start with standard mutation,1,thesis_sequential_depth_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed1,results/runs/thesis_sequential_depth_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed1/run_summary.json,11.7578125,0.64599609375,11.2265625,0.646484375,9.583333333333334,8.816666666666666,18.4,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,1,True,True,,,6314b9647d6ba62e35046b6b9555495ae4a8b41829eb9b8bd11da3c487396508,,,8,1,7,0,0,0,12,323,0,3,0,154,166,0,0,0
seq_depth_to_joint_warm,Depth → Joint warm + standard (G20),sequential,depth warm start with standard mutation,2,thesis_sequential_depth_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,results/runs/thesis_sequential_depth_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2/run_summary.json,11.3125,0.607421875,10.0234375,0.60791015625,9.616666666666667,9.033333333333333,18.65,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,1,True,True,,,d44e607d9348c77c8013375be1fd7e8e43861bac15c7393a9e295affacefc367,,,12,2,10,0,0,0,8,324,0,4,0,152,168,0,0,0
depthwarm_interaction_aware_g50,Depth → Joint warm + interaction-aware (G50),reference,depth warm start with interaction-aware mutation at G50,0,thesis_depthwarm_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,results/runs/thesis_depthwarm_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0/run_summary.json,10.984375,0.626953125,11.3125,0.626953125,9.533333333333333,20.733333333333334,30.266666666666666,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,50,16,1,True,True,,,454b86987800d97eba43ad3d810527ff7143b7cabdea85e154ab2d26a1831402,,,8,0,0,0,0,8,42,800,0,0,0,0,0,0,0,800
depthwarm_interaction_aware_g50,Depth → Joint warm + interaction-aware (G50),reference,depth warm start with interaction-aware mutation at G50,1,thesis_depthwarm_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,results/runs/thesis_depthwarm_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed1/run_summary.json,11.375,0.6162109375,10.984375,0.6162109375,9.583333333333334,20.55,30.133333333333333,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,50,16,1,True,True,,,6314b9647d6ba62e35046b6b9555495ae4a8b41829eb9b8bd11da3c487396508,,,8,0,0,0,0,8,42,800,0,0,0,0,0,0,0,800
depthwarm_interaction_aware_g50,Depth → Joint warm + interaction-aware (G50),reference,depth warm start with interaction-aware mutation at G50,2,thesis_depthwarm_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,results/runs/thesis_depthwarm_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/run_summary.json,11.15625,0.59228515625,9.8046875,0.591796875,9.616666666666667,20.783333333333335,30.4,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,50,16,1,True,True,,,d44e607d9348c77c8013375be1fd7e8e43861bac15c7393a9e295affacefc367,,,7,0,0,0,0,7,43,800,0,0,0,0,0,0,0,800
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",sequential,new sequential variant,0,thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed0,results/runs/thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed0/run_summary.json,11.03125,0.6171875,11.265625,0.61767578125,13.133333333333333,8.6,21.733333333333334,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,True,True,False,True,9c9f5cb40255d4698ecd8bcc569f41e6083b8072cebca156030f6aa8851da70d,352,352,13,0,0,0,13,0,7,322,1,1,0,0,0,0,320,0
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",sequential,new sequential variant,1,thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1,results/runs/thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed1/run_summary.json,16.453125,1.0126953125,16.65625,1.013671875,13.133333333333333,8.65,21.783333333333335,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,True,True,False,True,614ce6680799eac434377a3133b278b654d29c4e785b1377cee19072d42e205a,326,326,12,0,0,0,12,0,8,322,0,2,0,0,0,0,320,0
seq_quant_to_depth_frozen,"Quantization → Depth, frozen",sequential,new sequential variant,2,thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed2,results/runs/thesis_sequential_quant_to_depth_frozen_mistral_s0.25_qproj3.0_g20_o16_seed2/run_summary.json,14.5234375,0.90869140625,13.5625,0.908203125,13.183333333333334,8.666666666666666,21.85,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,True,True,False,True,bd325265dec9ae8f8887a21a092f9764f1d06190bcbd11a69b939ef1789f37f7,326,326,14,0,0,0,14,0,6,325,1,4,0,0,0,0,320,0
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),sequential,quantization warm start with standard mutation,0,thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed0,results/runs/thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed0/run_summary.json,13.046875,0.7763671875,13.3828125,0.77587890625,13.133333333333333,9.1,22.233333333333334,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,True,True,,,9c9f5cb40255d4698ecd8bcc569f41e6083b8072cebca156030f6aa8851da70d,,,15,10,5,0,0,0,5,323,0,3,0,159,161,0,0,0
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),sequential,quantization warm start with standard mutation,1,thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed1,results/runs/thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed1/run_summary.json,12.1796875,0.701171875,12.015625,0.701171875,13.133333333333333,8.916666666666666,22.05,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,True,True,,,614ce6680799eac434377a3133b278b654d29c4e785b1377cee19072d42e205a,,,18,13,5,0,0,0,2,323,0,3,0,157,163,0,0,0
seq_quant_to_joint_warm,Quantization → Joint warm + standard (G20),sequential,quantization warm start with standard mutation,2,thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2,results/runs/thesis_sequential_quant_to_joint_warm_mistral_s0.25_qproj3.0_g20_o16_seed2/run_summary.json,12.4921875,0.75048828125,11.578125,0.75048828125,13.183333333333334,9.0,22.183333333333334,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,True,True,,,bd325265dec9ae8f8887a21a092f9764f1d06190bcbd11a69b939ef1789f37f7,,,16,13,3,0,0,0,4,321,1,0,0,160,160,0,0,0
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),sequential,quantization warm start with interaction-aware mutation,0,thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed0,results/runs/thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed0/run_summary.json,12.3984375,0.74169921875,12.890625,0.7412109375,13.133333333333333,11.933333333333334,25.066666666666666,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,True,True,,,9c9f5cb40255d4698ecd8bcc569f41e6083b8072cebca156030f6aa8851da70d,,,12,0,0,0,0,12,8,320,0,0,0,0,0,0,0,320
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),sequential,quantization warm start with interaction-aware mutation,1,thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed1,results/runs/thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed1/run_summary.json,11.8046875,0.63330078125,11.3515625,0.6328125,13.133333333333333,12.583333333333334,25.716666666666665,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,True,True,,,614ce6680799eac434377a3133b278b654d29c4e785b1377cee19072d42e205a,,,15,0,0,0,0,15,5,320,0,0,0,0,0,0,0,320
quantwarm_interaction_aware_g20,Quantization → Joint warm + interaction-aware (G20),sequential,quantization warm start with interaction-aware mutation,2,thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2,results/runs/thesis_sequential_quant_to_joint_warm_interactionaware_mistral_s0.25_qproj3.0_g20_o16_seed2/run_summary.json,11.3359375,0.625,10.0234375,0.625,13.183333333333334,9.65,22.833333333333332,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,20,16,32,True,True,,,bd325265dec9ae8f8887a21a092f9764f1d06190bcbd11a69b939ef1789f37f7,,,16,0,0,0,0,16,4,320,0,0,0,0,0,0,0,320
joint_g50,Standard joint G50,reference,larger single-search compute reference,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0/run_summary.json,11.46875,0.66455078125,11.78125,0.6640625,0.0,22.466666666666665,22.466666666666665,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,50,16,32,,,,,,,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joint_g50,Standard joint G50,reference,larger single-search compute reference,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1/run_summary.json,10.921875,0.55908203125,10.3984375,0.55908203125,0.0,22.683333333333334,22.683333333333334,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,50,16,32,,,,,,,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joint_g50,Standard joint G50,reference,larger single-search compute reference,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/run_summary.json,11.3359375,0.61474609375,10.1015625,0.615234375,0.0,22.6,22.6,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,50,16,32,,,,,,,,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interaction_aware_g50,Interaction-aware joint G50,reference,non-matched operator reference,0,thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0/run_summary.json,10.8984375,0.61083984375,11.2421875,0.6103515625,0.0,21.566666666666666,21.566666666666666,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,50,16,32,,,,,,,,21,0,0,0,0,21,29,0,0,0,0,0,0,0,0,800
interaction_aware_g50,Interaction-aware joint G50,reference,non-matched operator reference,1,thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed1/run_summary.json,11.1171875,0.59130859375,11.0078125,0.59130859375,0.0,21.083333333333332,21.083333333333332,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,50,16,32,,,,,,,,22,0,0,0,0,22,28,0,0,0,0,0,0,0,0,800
interaction_aware_g50,Interaction-aware joint G50,reference,non-matched operator reference,2,thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/run_summary.json,11.2421875,0.625,10.1171875,0.625,0.0,20.916666666666668,20.916666666666668,1.400303557622533,9872.5078125,3.0,11.426093944348155,0.7592681023341133,50,16,32,,,,,,,,19,0,0,0,0,19,31,0,0,0,0,0,0,0,0,800
